Customer ID,Cluster,recency_days,frequency,monetary,aov
BP-11155,1,90,11,1697.8609999999999,154.351
BP-11185,1,2,18,3675.861,204.2145
BP-11230,1,40,6,1181.49,196.915
BP-11290,1,13,16,2475.157,154.6973125
BS-11365,2,559,9,10501.653,1166.8503333333333
BS-11380,1,29,13,3887.834,299.06415384615383
BS-11590,1,36,10,2454.928,245.4928
BS-11665,0,583,11,3288.1099999999997,298.91909090909087
BS-11755,1,2,14,2562.382,183.0272857142857
BS-11800,1,266,8,949.4300000000001,118.67875000000001
BT-11305,0,337,9,2567.656,285.2951111111111
BT-11395,1,303,10,2186.6130000000003,218.66130000000004
BT-11440,0,561,7,603.876,86.268
BT-11485,0,660,3,415.19599999999997,138.39866666666666
BT-11530,1,92,10,2684.4919999999997,268.44919999999996
BT-11680,1,21,20,3196.752,159.8376
BV-11245,1,335,14,1523.2730000000001,108.8052142857143
BW-11065,1,213,3,385.516,128.50533333333334
BW-11110,2,122,17,4750.358,279.4328235294118
BW-11200,1,204,10,1738.406,173.8406
CA-11965,1,97,10,3789.7228,378.97228
CA-12055,0,402,10,1679.7240000000002,167.97240000000002
CA-12265,1,57,17,2648.2872,155.78160000000003
CA-12310,1,14,11,1421.954,129.26854545454546
CA-12775,1,121,17,3041.566,178.9156470588235
CB-12025,2,48,26,6076.139,233.69765384615386
CB-12415,1,27,12,1949.2,162.43333333333334
CB-12535,1,198,19,4246.4555,223.49765789473685
CC-12100,0,458,13,1770.945,136.22653846153847
CC-12145,1,107,11,2471.65,224.69545454545457
CC-12220,1,21,22,3913.418,177.88263636363638
CC-12370,2,44,11,12129.072000000002,1102.6429090909094
CC-12430,1,1,19,2870.05,151.05526315789476
CC-12475,1,40,13,1659.438,127.64907692307693
CC-12550,1,28,4,113.832,28.458
CC-12610,1,35,12,2540.631,211.71925
CC-12670,1,30,14,2269.7015,162.12153571428573
CC-12685,0,800,12,2854.1150000000002,237.8429166666667
CD-11920,1,41,9,2033.968,225.99644444444445
CD-11980,1,55,6,639.766,106.62766666666666
CD-12280,1,43,13,1205.584,92.73723076923078
CD-12790,0,400,15,1860.732,124.0488
CG-12040,1,50,9,904.4680000000001,100.49644444444445
CG-12520,0,339,5,1148.7800000000002,229.75600000000003
CH-12070,0,692,4,1537.236,384.309
CJ-11875,0,366,1,16.52,16.52
CJ-12010,2,190,20,11164.974,558.2487
CK-12205,2,40,32,3154.855,98.58921875
CK-12325,1,121,12,2945.321,245.44341666666665
CK-12595,1,44,25,2372.75,94.91
CK-12760,1,83,14,1582.109,113.0077857142857
CL-11890,1,107,7,1262.0140000000001,180.28771428571432
CL-12565,2,285,28,10880.546,388.5909285714286
CL-12700,1,106,8,2353.586,294.19825
CM-11815,1,132,10,1673.888,167.3888
CM-11935,0,709,4,565.392,141.348
CM-12115,1,9,7,1661.6100000000001,237.37285714285716
CM-12160,1,27,7,2533.314,361.902
CM-12190,1,9,7,1475.144,210.73485714285715
CM-12235,0,386,8,2305.712,288.214
CM-12385,2,38,10,8954.019999999999,895.4019999999998
CM-12445,0,437,9,287.99,31.99888888888889
CM-12655,2,28,10,6339.5576,633.95576
CM-12715,0,1036,13,3984.4524,306.49633846153847
CP-12085,2,83,14,5402.254,385.8752857142857
CP-12340,2,161,15,5888.275,392.5516666666666
CR-12580,1,58,6,2148.852,358.142
CR-12625,0,471,4,475.9,118.975
CR-12730,1,79,6,1600.55,266.7583333333333
CR-12820,1,86,7,1397.8724,199.69605714285714
CS-11845,1,92,8,1278.954,159.86925
CS-11860,1,163,7,537.632,76.80457142857142
CS-11950,1,26,22,3036.547,138.02486363636365
CS-12130,0,490,7,884.64,126.37714285714286
CS-12175,1,233,8,844.4580000000001,105.55725000000001
CS-12250,1,27,28,2754.216,98.36485714285713
CS-12355,1,7,22,3202.1620000000003,145.5528181818182
CS-12400,1,3,14,3651.8585000000003,260.8470357142857
CS-12460,1,28,6,550.644,91.774
CS-12490,0,425,9,1077.2285,119.69205555555556
CS-12505,2,59,9,5690.054999999999,632.2283333333332
CT-11995,1,97,18,3241.898,180.10544444444446
CV-12295,1,255,13,2830.6279999999997,217.74061538461535
CV-12805,1,6,19,2370.3136,124.75334736842105
CW-11905,1,23,11,1136.592,103.32654545454547
CY-12745,1,61,11,2900.026,263.63872727272724
Co-12640,0,550,8,1300.076,162.5095
DA-13450,0,353,8,156.76,19.595
DB-12910,1,22,12,2171.599,180.96658333333335
DB-12970,1,242,14,2839.2272,202.80194285714285
DB-13060,1,17,13,4531.646,348.58815384615383
DB-13120,1,49,14,2973.094,212.36385714285714
DB-13210,1,10,21,2332.577,111.07509523809524
DB-13270,2,54,13,4655.897,358.14592307692305
DB-13360,0,265,6,1081.466,180.24433333333332
DB-13405,1,188,14,1711.692,122.26371428571429
DB-13555,1,108,14,3908.8028,279.2002
DB-13615,1,34,11,1989.05,180.82272727272726
DB-13660,1,13,10,1155.202,115.5202
DC-12850,1,38,18,3336.168,185.34266666666667
DC-13285,1,24,7,1174.618,167.8025714285714
DD-13570,1,42,9,269.542,29.949111111111108
DE-13255,0,720,9,2550.874,283.43044444444445
DF-13135,0,701,6,2390.534,398.42233333333337
DG-13300,1,33,8,3195.818,399.47725
DH-13075,2,278,23,4932.872,214.47269565217394
DH-13675,0,777,11,1043.096,94.8269090909091
DJ-13420,0,638,5,2012.52,402.504
DJ-13510,1,49,13,2501.6879999999996,192.43753846153842
DJ-13630,1,13,8,3356.398,419.54975
DK-12835,1,22,27,3256.48,120.61037037037038
DK-12895,1,46,15,4282.176,285.4784
DK-12985,1,8,8,1687.04,210.88
DK-13090,1,43,13,2650.557,203.88899999999998
DK-13150,1,11,5,797.832,159.5664
DK-13225,2,11,19,4802.394,252.75757894736844
DK-13375,1,20,23,3318.486,144.28199999999998
DL-12865,1,101,14,1503.112,107.36514285714286
DL-12925,1,58,14,3272.2,233.72857142857143
DL-13315,1,23,17,1458.258,85.77988235294117
DL-13330,1,58,8,585.02,73.1275
DL-13495,1,77,12,3539.322,294.94350000000003
DM-12955,1,115,9,1322.034,146.89266666666668
DM-13015,2,58,20,6345.103,317.25515
DM-13345,1,23,13,4074.4719999999998,313.42092307692303
DM-13525,0,482,10,1376.792,137.67919999999998
DN-13690,1,218,11,2139.79,194.52636363636364
DO-13435,1,134,13,1300.0315,100.00242307692308
DO-13645,1,27,11,1267.316,115.21054545454545
DP-13000,1,127,17,1050.636,61.80211764705882
DP-13105,1,7,14,2215.002,158.21442857142856
DP-13165,0,813,4,1058.616,264.654
DP-13390,2,359,14,5480.723999999999,391.4802857142857
DR-12880,2,4,24,6528.034000000001,272.00141666666667
DR-12940,2,51,13,8350.868,642.3744615384616
DS-13030,1,94,19,1762.213,92.74805263157894
DS-13180,1,24,20,2881.8128,144.09064
DV-13045,1,20,9,1119.483,124.387
DV-13465,1,30,15,3341.587,222.77246666666667
DW-13195,1,70,9,1080.751,120.08344444444444
DW-13480,2,218,11,5271.628,479.2389090909091
DW-13540,1,99,9,344.08,38.23111111111111
DW-13585,1,243,10,1204.854,120.4854
Dl-13600,1,120,6,755.602,125.93366666666667
Dp-13240,2,85,29,7198.7609999999995,248.23313793103446
EA-14035,1,153,25,2846.705,113.8682
EB-13705,1,49,12,3644.978,303.7481666666667
EB-13750,1,36,20,3236.314,161.8157
EB-13840,2,91,8,4358.128,544.766
EB-13870,1,101,11,2767.219,251.56536363636363
EB-13930,1,162,7,944.6000000000001,134.94285714285715
EB-13975,1,1,6,1643.255,273.87583333333333
EB-14110,1,114,11,3071.126,279.19327272727276
EB-14170,1,83,7,1186.326,169.47514285714286
EC-14050,1,54,7,461.914,65.98771428571429
ED-13885,1,136,14,3484.92,248.92285714285714
EG-13900,1,23,9,1832.02,203.55777777777777
EH-13765,2,136,32,10310.880000000001,322.21500000000003
EH-13945,1,218,17,684.1709999999999,40.24535294117646
EH-13990,0,406,8,825.9499999999999,103.24374999999999
EH-14005,1,3,11,1219.53,110.86636363636363
EH-14125,1,153,18,3082.653,171.2585
EH-14185,1,106,8,923.884,115.4855
EJ-13720,0,303,8,2162.174,270.27175
EJ-14155,1,58,8,2656.691,332.086375
EK-13795,1,45,4,1303.478,325.8695
EL-13735,1,78,2,124.28,62.14
EM-13810,1,133,7,2567.0099999999998,366.7157142857142
EM-13825,1,56,16,2339.598,146.224875
EM-13960,1,152,6,933.704,155.61733333333333
EM-14065,1,48,6,228.99,38.165
EM-14095,1,114,10,1041.0420000000001,104.10420000000002
EM-14140,2,49,21,4588.436000000001,218.49695238095242
EM-14200,1,159,4,366.822,91.7055
EN-13780,1,288,9,2199.366,244.374
EP-13915,2,13,31,5478.0608,176.71163870967743
ER-13855,0,422,5,1245.788,249.1576
ES-14020,1,41,8,3510.4579999999996,438.80724999999995
ES-14080,2,29,20,4657.924,232.8962
FA-14230,1,98,17,2984.054,175.53258823529413
FC-14245,1,71,14,3418.742,244.19585714285716
FC-14335,1,185,10,3889.366,388.9366
FG-14260,1,35,11,1383.144,125.74036363636364
FH-14275,2,38,21,4256.272,202.67961904761904
FH-14350,1,213,14,2271.284,162.23457142857143
FH-14365,2,6,13,6987.196,537.4766153846153
FM-14215,1,8,15,2456.638,163.77586666666667
FM-14290,1,37,20,3736.198,186.8099
FM-14380,1,146,14,2523.266,180.23328571428573
FO-14305,1,39,15,2678.438,178.56253333333333
FP-14320,1,24,14,4046.746,289.0532857142857
FW-14395,0,363,3,79.75,26.583333333333332
GA-14515,1,150,14,3919.7760000000003,279.98400000000004
GA-14725,1,6,22,1398.382,63.56281818181819
GB-14530,1,63,20,1568.44,78.422
GB-14575,2,14,16,4716.288,294.768
GD-14590,1,6,6,1888.07,314.67833333333334
GG-14650,1,44,24,2224.0,92.66666666666667
GH-14410,1,76,17,2819.4669999999996,165.85099999999997
GH-14425,1,51,10,4172.8460000000005,417.28460000000007
GH-14485,0,388,3,1361.2440000000001,453.74800000000005
GH-14665,1,3,3,146.94080000000002,48.98026666666667
GK-14620,2,113,14,6497.27,464.09071428571434
GM-14440,1,84,11,3582.8199999999997,325.71090909090907
GM-14455,1,17,12,3078.624,256.55199999999996
GM-14500,1,107,13,1255.682,96.59092307692308
GM-14680,1,153,11,3163.628,287.60254545454546
GM-14695,2,118,11,6049.966,549.9969090909091
GP-14740,0,766,5,236.53,47.306
GR-14560,0,1136,5,1284.38,256.87600000000003
GT-14635,2,57,6,9351.212,1558.5353333333333
GT-14710,2,37,29,11820.119999999999,407.5903448275862
GT-14755,1,35,7,226.436,32.348
GW-14605,1,29,9,2189.019,243.2243333333333
GZ-14470,1,8,14,4355.150000000001,311.0821428571429
GZ-14545,1,158,5,2454.6220000000003,490.92440000000005
HA-14905,1,70,10,2163.3,216.33
HA-14920,1,21,18,2584.158,143.56433333333334
HD-14785,0,770,7,251.36,35.90857142857143
HE-14800,1,13,11,883.5319999999999,80.3210909090909
HF-14995,1,22,19,2533.1639999999998,133.32442105263158
HG-14845,1,55,10,785.628,78.56280000000001
HG-14965,1,24,17,3247.642,191.03776470588235
HG-15025,1,7,11,3690.284,335.4803636363636
HH-15010,1,73,6,218.668,36.44466666666667
HJ-14875,1,127,6,358.1,59.68333333333334
HK-14890,2,152,15,4877.784,325.18559999999997
HL-15040,2,44,11,12873.297999999999,1170.2998181818182
HM-14860,2,3,20,8236.7648,411.83824000000004
HM-14980,1,248,7,736.276,105.18228571428571
HP-14815,1,31,10,1990.314,199.03140000000002
HR-14770,1,14,13,1299.288,99.94523076923078
HR-14830,2,160,14,5248.787,374.91335714285714
HW-14935,2,118,20,9300.254,465.01270000000005
HZ-14950,1,36,6,886.52,147.75333333333333
IG-15085,1,72,7,744.574,106.36771428571429
IL-15100,2,143,14,5040.736,360.0525714285714
IM-15055,0,410,4,2872.63,718.1575
IM-15070,2,391,21,4930.474,234.7844761904762
JA-15970,2,93,24,6491.026,270.45941666666664
JB-15400,1,8,16,1791.605,111.9753125
JB-15925,0,738,8,900.552,112.569
JB-16000,1,44,7,644.1188,92.01697142857142
JB-16045,1,8,9,2518.115,279.79055555555556
JC-15340,1,115,4,71.263,17.81575
JC-15385,1,176,4,1058.108,264.527
JC-15775,1,159,16,2772.055,173.2534375
JC-16105,1,58,9,858.576,95.39733333333334
JD-15790,1,118,7,2152.352,307.4788571428571
JD-15895,2,395,32,7610.8640000000005,237.83950000000002
JD-16015,1,113,11,385.43,35.03909090909091
JD-16060,0,301,6,695.442,115.907
JD-16150,2,42,17,8828.0305,519.2959117647059
JE-15475,1,194,13,1388.682,106.8216923076923
JE-15610,2,49,20,7754.976,387.74879999999996
JE-15715,2,47,22,8697.842999999999,395.3564999999999
JE-15745,2,52,23,6760.8150000000005,293.9484782608696
JE-16165,1,21,7,2697.248,385.3211428571429
JF-15190,1,66,19,2279.5860000000002,119.9782105263158
JF-15295,1,226,14,955.124,68.22314285714286
JF-15355,1,106,16,1911.844,119.49025
JF-15415,1,3,14,2371.448,169.38914285714284
JF-15490,1,122,15,1082.918,72.19453333333333
JF-15565,1,55,16,4198.332,262.39575
JG-15115,0,759,7,2358.676,336.9537142857143
JG-15160,2,2,18,6366.392,353.68844444444443
JG-15310,1,3,11,2240.58,203.6890909090909
JG-15805,1,224,9,1507.018,167.44644444444444
JH-15430,1,6,7,309.281,44.183
JH-15820,1,175,8,528.91,66.11375
JH-15910,1,42,9,959.477,106.60855555555555
JH-15985,2,30,14,7954.9980000000005,568.2141428571429
JH-16180,0,405,5,2256.3940000000002,451.27880000000005
JJ-15445,0,484,6,709.178,118.19633333333333
JJ-15760,0,754,3,195.0,65.0
JK-15205,1,62,13,4427.142,340.5493846153846
JK-15325,0,288,4,383.812,95.953
JK-15370,1,45,17,2709.632,159.39011764705882
JK-15625,1,62,12,3760.028,313.33566666666667
JK-15640,2,181,12,4760.434,396.70283333333333
JK-15730,2,85,20,4867.2,243.35999999999999
JK-16090,1,29,9,3747.668,416.4075555555556
JK-16120,1,118,17,2932.484,172.4990588235294
JL-15130,1,9,12,1214.956,101.24633333333333
JL-15175,1,7,7,1571.523,224.5032857142857
JL-15235,1,120,10,2203.7,220.36999999999998
JL-15505,1,50,17,3173.874,186.6984705882353
JL-15835,2,22,34,9799.923,288.23302941176473
JL-15850,0,615,11,2725.256,247.75054545454543
JM-15250,1,38,19,3159.1220000000003,166.26957894736844
JM-15265,1,38,13,1804.146,138.78046153846154
JM-15535,1,103,10,1733.443,173.3443
JM-15580,1,1,7,303.948,43.421142857142854
JM-15655,1,9,12,864.947,72.07891666666667
JM-15865,2,110,13,7625.076000000001,586.5443076923077
JM-16195,1,58,19,2833.9260000000004,149.15400000000002
JO-15145,1,58,13,3254.949,250.3806923076923
JO-15280,1,93,11,1934.272,175.84290909090907
JO-15550,1,216,11,1090.838,99.1670909090909
JP-15460,1,38,15,1669.135,111.27566666666667
JP-15520,1,9,16,3635.594,227.224625
JP-16135,1,103,13,1707.71,131.3623076923077
JR-15670,0,594,3,1156.658,385.55266666666665
JR-15700,1,69,1,863.88,863.88
JR-16210,1,34,10,2201.686,220.16860000000003
JS-15595,1,120,8,1417.654,177.20675
JS-15685,1,43,11,1131.0639999999999,102.82399999999998
JS-15880,0,535,9,3868.02,429.78
JS-15940,0,464,8,469.169,58.646125
JS-16030,1,29,18,2516.494,139.80522222222223
JW-15220,2,43,14,7721.714,551.551
JW-15955,1,6,11,1244.086,113.09872727272727
JW-16075,0,462,7,1428.731,204.10442857142857
KA-16525,1,37,11,1519.506,138.13690909090909
KB-16240,1,5,10,3152.6150000000002,315.2615
KB-16315,1,297,22,1569.464,71.33927272727273
KB-16405,1,118,9,908.821,100.98011111111111
KB-16585,1,231,23,2744.742,119.33660869565219
KB-16600,1,2,9,983.922,109.32466666666667
KC-16255,0,408,10,2120.954,212.0954
KC-16540,2,98,5,3908.262,781.6524000000001
KC-16675,1,58,7,1146.05,163.72142857142856
KD-16270,2,485,16,8282.358,517.647375
KD-16345,1,42,10,1888.964,188.8964
KD-16495,2,113,28,8181.256,292.1877142857143
KD-16615,1,290,13,2243.5099999999998,172.5776923076923
KE-16420,1,27,15,1686.7312,112.44874666666666
KF-16285,2,98,18,10604.266,589.1258888888889
KH-16330,1,41,18,3312.864,184.048
KH-16360,1,2,14,3100.612,221.47228571428573
KH-16510,2,23,23,5952.859,258.81995652173913
KH-16630,1,59,17,3918.9660000000003,230.5274117647059
KH-16690,2,3,15,5990.799,399.3866
KL-16555,2,17,22,5016.488,228.02218181818182
KL-16645,2,48,29,14175.229000000001,488.80100000000004
KM-16225,1,15,19,2260.958,118.99778947368422
KM-16375,2,57,20,5620.186,281.0093
KM-16660,1,16,9,453.538,50.39311111111111
KM-16720,2,29,28,4909.472,175.33828571428572
KN-16390,1,20,17,2617.272,153.95717647058822
KN-16450,1,53,8,2171.962,271.49525
KN-16705,1,99,15,2280.58,152.03866666666667
KS-16300,0,296,4,88.472,22.118
KT-16465,0,392,14,3057.1,218.3642857142857
KT-16480,2,101,13,4642.088400000001,357.0837230769231
KW-16435,1,97,10,4416.5199999999995,441.65199999999993
KW-16570,0,772,5,449.096,89.8192
LA-16780,2,155,26,8673.222,333.5854615384615
LB-16735,1,49,3,50.188,16.729333333333333
LB-16795,2,153,24,4985.676,207.7365
LC-16870,1,28,30,2580.7039999999997,86.02346666666666
LC-16885,2,17,23,7663.126,333.17939130434786
LC-16930,1,42,14,4492.946,320.9247142857143
LC-16960,0,437,7,3246.626,463.8037142857143
LC-17050,1,55,9,2095.064,232.78488888888887
LC-17140,1,14,19,2633.582,138.60957894736842
LD-16855,0,553,1,5.304,5.304
LD-17005,0,415,7,1961.934,280.27628571428573
LE-16810,1,22,9,1469.45,163.27222222222224
LF-17185,1,23,16,3930.5089999999996,245.65681249999997
LH-16750,1,152,3,287.426,95.80866666666667
LH-16900,1,22,15,2295.332,153.02213333333333
LH-17020,1,240,6,318.239,53.03983333333333
LH-17155,1,386,19,1739.689,91.56257894736842
LL-16840,1,250,12,2741.2039999999997,228.43366666666665
LM-17065,0,392,7,1346.774,192.3962857142857
LO-17170,1,3,9,644.35,71.59444444444445
LP-17080,1,41,9,756.606,84.06733333333334
LP-17095,1,10,15,3653.399,243.55993333333333
LR-16915,2,27,16,5142.892,321.43075
LR-17035,1,133,12,1879.306,156.60883333333334
LS-16945,1,179,14,2845.27,203.23357142857142
LS-16975,1,21,22,2988.674,135.8488181818182
LS-17200,1,97,14,1010.2560000000001,72.16114285714286
LS-17230,0,778,6,368.88000000000005,61.48000000000001
LS-17245,1,35,12,1008.1360000000001,84.01133333333334
LT-16765,1,27,3,329.876,109.95866666666666
LT-17110,1,35,14,2936.252,209.73228571428572
LW-16825,1,89,15,2238.061,149.20406666666668
LW-16990,1,34,11,3230.308,293.66436363636365
LW-17125,1,206,5,1259.04,251.808
LW-17215,2,22,15,5420.514,361.3676
MA-17560,2,65,34,4299.161,126.44591176470588
MA-17995,1,187,12,2453.284,204.44033333333334
MB-17305,1,49,19,1548.702,81.51063157894737
MB-18085,1,45,10,1428.231,142.8231
MC-17275,1,77,13,2725.982,209.69092307692307
MC-17425,0,400,10,4432.138,443.2138
MC-17575,1,28,11,1303.893,118.53572727272727
MC-17590,1,52,17,2426.067,142.70982352941178
MC-17605,1,113,18,2258.192,125.45511111111111
MC-17635,1,190,8,795.154,99.39425
MC-17845,1,2,14,3805.714,271.83671428571427
MC-18100,1,42,19,2218.98,116.78842105263158
MC-18130,0,370,11,1581.9979999999998,143.81799999999998
MD-17350,1,118,17,3766.382,221.5518823529412
MD-17860,1,37,8,1204.91,150.61375
ME-17320,2,43,22,10663.728000000001,484.71490909090915
ME-17725,1,29,13,1908.4532,146.80409230769231
ME-18010,1,93,6,1256.944,209.49066666666667
MF-17665,0,422,8,937.039,117.129875
MF-18250,1,8,12,1758.3,146.525
MG-17650,1,30,14,3785.276,270.37685714285715
MG-17680,1,93,10,2350.188,235.0188
MG-17695,0,556,7,1342.282,191.7545714285714
MG-17875,1,117,7,1242.8329999999999,177.54757142857142
MG-17890,1,100,13,776.384,59.72184615384616
MG-18145,1,85,8,3061.543,382.692875
MG-18205,0,265,2,16.739,8.3695
MH-17290,1,120,13,2394.025,184.15576923076924
MH-17440,0,377,9,400.016,44.446222222222225
MH-17455,1,86,11,2456.1820000000002,223.28927272727276
MH-17620,1,156,6,1252.8,208.79999999999998
MH-17785,1,99,11,2203.7780000000002,200.34345454545456
MH-18025,1,50,10,2984.948,298.4948
MH-18115,2,6,22,5503.093,250.1405909090909
MJ-17740,2,23,15,6320.746,421.38306666666665
MK-17905,1,29,17,2302.368,135.43341176470588
MK-18160,1,241,11,1031.602,93.78200000000001
ML-17395,1,70,20,2722.843,136.14215
ML-17410,1,55,15,2921.5,194.76666666666668
ML-17755,1,30,13,2071.9139999999998,159.378
ML-18040,1,80,4,742.082,185.5205
ML-18265,1,101,3,162.232,54.077333333333335
MM-17260,1,169,6,1314.023,219.00383333333332
MM-17920,1,8,16,3794.0800000000004,237.13000000000002
MM-18055,1,62,19,2749.881,144.7305789473684
MM-18280,1,86,12,775.414,64.61783333333334
MN-17935,1,35,10,2477.946,247.7946
MO-17500,1,73,5,922.487,184.4974
MO-17800,1,105,11,1687.0269999999998,153.3660909090909
MO-17950,1,181,4,154.288,38.572
MP-17470,0,720,14,3206.132,229.00942857142857
MP-17965,1,73,20,3983.6420000000003,199.18210000000002
MP-18175,2,17,19,5087.92,267.78526315789475
MR-17545,1,126,6,639.178,106.52966666666667
MS-17365,2,274,24,7443.6900000000005,310.15375
MS-17530,0,435,7,475.65599999999995,67.95085714285713
MS-17710,0,414,15,1613.402,107.56013333333334
MS-17770,1,122,19,3144.678,165.5093684210526
MS-17830,0,453,5,370.348,74.06960000000001
MS-17980,1,27,11,855.116,77.73781818181818
MT-17815,1,50,10,2890.139,289.01390000000004
MT-18070,1,204,11,1319.4498,119.94998181818183
MV-17485,1,28,15,1560.05,104.00333333333333
MV-18190,1,20,11,1734.574,157.68854545454545
MW-18220,2,18,14,5341.900000000001,381.56428571428575
MW-18235,2,45,3,5253.876,1751.2920000000001
MY-17380,1,30,13,2254.285,173.40653846153845
MY-18295,1,72,21,4152.696,197.74742857142857
MZ-17335,1,31,6,593.606,98.93433333333333
MZ-17515,1,283,10,2564.906,256.4906
NB-18580,0,1166,2,273.87199999999996,136.93599999999998
NB-18655,1,20,17,1972.599,116.03523529411764
NC-18340,1,225,17,2461.404,144.7884705882353
NC-18415,1,42,14,2218.9900000000002,158.49928571428572
NC-18535,2,7,15,8241.739,549.4492666666666
NC-18625,1,205,9,1821.742,202.41577777777778
ND-18370,1,28,18,4326.139,240.34105555555556
ND-18460,1,184,8,2893.455,361.681875
NF-18385,2,80,14,8322.826,594.4875714285714
NF-18475,0,526,4,377.16200000000003,94.29050000000001
NF-18595,1,115,12,2031.472,169.28933333333333
NG-18355,1,49,16,1869.58,116.84875
NG-18430,1,49,9,1395.9379999999999,155.1042222222222
NH-18610,1,190,11,2673.29,243.02636363636364
